"","Predator","Prey","Pct.m","Pct.m.ci","Pct.fo","Pct.fo.ci","Nstom","Ntows","Meansw"
"501","Bluefish (Pomatomus saltatrix)","Unidentified fish",19.7578655961906,0.168976596155593,20.632888238522,1.07270878029456,5467,1890,1.28776027318373
"502","Bluefish (Pomatomus saltatrix)","Engraulidae",11.680555144434,0.155592654707141,7.26175233217487,0.687910112186712,5467,1890,0.761304646521841
"503","Bluefish (Pomatomus saltatrix)","Anchoa mitchilli",10.108816327579,0.0869999955171553,5.79842692518749,0.61953479988357,5467,1890,0.65886327711821
"504","Bluefish (Pomatomus saltatrix)","Peprilus triacanthus",9.49185369055761,0.09744313873414,5.56063654655204,0.607463677323437,5467,1890,0.618651445018897
"505","Bluefish (Pomatomus saltatrix)","Loligo sp",6.20433900386783,0.0440848878647185,7.38979330528626,0.693469087982489,5467,1890,0.404380789597322
"506","Bluefish (Pomatomus saltatrix)","Ammodytes sp",4.68963078259993,0.0842252402063036,1.73769892079751,0.346387542919198,5467,1890,0.305656508711958
"507","Bluefish (Pomatomus saltatrix)","Pomatomus saltatrix",4.35628497900169,0.113804737933839,0.402414486921529,0.167819623712894,5467,1890,0.283929997767927
"508","Bluefish (Pomatomus saltatrix)","Clupea harengus",3.40818507863436,0.0559464233757321,0.676788000731663,0.217336784483171,5467,1890,0.222135600961325
"509","Bluefish (Pomatomus saltatrix)","Merluccius bilinearis",2.99233392844332,0.0408371045701343,0.987744649716481,0.262149089694157,5467,1890,0.195031631245233
"510","Bluefish (Pomatomus saltatrix)","Anchoa hepsetus",2.85878915339485,0.0432972504988606,2.79860984086336,0.437208856635421,5467,1890,0.186327570821224
"511","Bluefish (Pomatomus saltatrix)","Cephalopoda",2.67510778349571,0.0277474714206545,4.73751600512164,0.56314188516294,5467,1890,0.174355752816466
"512","Bluefish (Pomatomus saltatrix)","Etrumeus teres",2.62987609840981,0.0305902740278132,2.30473751600512,0.397767249319,5467,1890,0.171407683002993
"513","Bluefish (Pomatomus saltatrix)","Clupeidae",2.50065018134164,0.0674105712650468,0.512163892445583,0.189221728606948,5467,1890,0.162985113193721
"514","Bluefish (Pomatomus saltatrix)","Illex sp",2.04569536543481,0.0324666479022361,0.713371135906347,0.223092352703439,5467,1890,0.133332480161771
"515","Bluefish (Pomatomus saltatrix)","Stenotomus chrysops",1.06519731998856,0.0133449866251916,1.26211816352661,0.295919405625616,5467,1890,0.069426466391568
"516","Bluefish (Pomatomus saltatrix)","Brevoortia tyrannus",0.977238915679647,0.0253981580532629,0.182915675873422,0.11326857515705,5467,1890,0.0636935931614004
"517","Bluefish (Pomatomus saltatrix)","Alosa pseudoharengus",0.961024979648511,0.034096896986435,0.0914578379367112,0.080129661957408,5467,1890,0.062636815920398
"518","Bluefish (Pomatomus saltatrix)","Macrozoarces americanus",0.85088876901421,0.0174013579205077,0.16462410828608,0.107465850697722,5467,1890,0.0554584577114428
