"","Predator","Prey","Pct.m","Pct.m.ci","Pct.fo","Pct.fo.ci","Nstom","Ntows","Meansw"
"4797","Bluefish (Pomatomus saltatrix)","Unidentified fish",17.2732377693247,0.328757312033025,26.4347826086956,3.60451039221479,575,294,11.7097681276667
"4798","Bluefish (Pomatomus saltatrix)","Clupea harengus",15.3068967750303,0.706644050676139,4.17391304347826,1.63469119963242,575,294,10.3767582188931
"4799","Bluefish (Pomatomus saltatrix)","Merluccius bilinearis",11.438383434286,0.47410556114563,5.73913043478261,1.90112607086059,575,294,7.75423922020551
"4800","Bluefish (Pomatomus saltatrix)","Clupeidae",10.7547012345726,0.877339142045619,2.08695652173913,1.16842038346131,575,294,7.29076154806492
"4801","Bluefish (Pomatomus saltatrix)","Illex sp",8.661044096036,0.346714611124019,4.69565217391304,1.72912530138275,575,294,5.8714422543402
"4802","Bluefish (Pomatomus saltatrix)","Loligo sp",6.48944996514046,0.168850939170044,8.8695652173913,2.32383364838089,575,294,4.39928838951311
"4803","Bluefish (Pomatomus saltatrix)","Ammodytes sp",4.42623812765777,0.264697616518898,8,2.21748686580101,575,294,3.00060838881953
"4804","Bluefish (Pomatomus saltatrix)","Melanogrammus aeglefinus",4.23178957977436,0.337419230979221,0.521739130434783,0.588861208720996,575,294,2.86878901373283
"4805","Bluefish (Pomatomus saltatrix)","Scomberesox saurus",3.09129291466523,0.207195601004194,1.04347826086957,0.830588784896866,575,294,2.0956304619226
"4806","Bluefish (Pomatomus saltatrix)","Alosa aestivalis",2.86643477998119,0.335764739235957,0.347826086956522,0.481223262517788,575,294,1.94319600499376
"4807","Bluefish (Pomatomus saltatrix)","Urophycis chuss",2.47242660704385,0.224396964493923,0.695652173913043,0.679363725545513,575,294,1.67609238451935
"4808","Bluefish (Pomatomus saltatrix)","Scomber scombrus",1.77237073651417,0.0947889322445496,1.04347826086957,0.830588784896866,575,294,1.20151477320017
"4809","Bluefish (Pomatomus saltatrix)","Peprilus triacanthus",1.61623397107433,0.0658411253248672,4.34782608695652,1.66688505733353,575,294,1.09566748828921
"4810","Bluefish (Pomatomus saltatrix)","Pleuronectiformes",1.60333733229195,0.0929786149865536,1.39130434782609,0.957394277409456,575,294,1.08692467748648
"4811","Bluefish (Pomatomus saltatrix)","Macrozoarces americanus",1.4625907499268,0.147314999476998,0.347826086956522,0.481223262517788,575,294,0.991510611735331
"4812","Bluefish (Pomatomus saltatrix)","Cephalopoda",1.43936158634246,0.0530313822438057,5.91304347826087,1.9279350343919,575,294,0.975763238660008
"4813","Bluefish (Pomatomus saltatrix)","Myoxocephalus octodecemspinosus",1.12009184830078,0.0637125229289359,0.869565217391304,0.75888633782698,575,294,0.759325842696629
